"","bottle_depthm","bottle_salnty","bottle_po4u_m","bottle_no3u_m","bottle_si_o3u_m","bottle_o2sat"
"bottle_depthm",1,0.583912414238335,0.759696371550217,0.774516024906177,0.778209582376,-0.772244918534819
"bottle_salnty",0.583912414238335,1,0.750384398699312,0.767465295567124,0.802756896267366,-0.766387876374534
"bottle_po4u_m",0.759696371550217,0.750384398699312,1,0.993391567159839,0.973121586209588,-0.981042485545432
"bottle_no3u_m",0.774516024906177,0.767465295567124,0.993391567159839,1,0.975884788641533,-0.979393521767492
"bottle_si_o3u_m",0.778209582376,0.802756896267366,0.973121586209588,0.975884788641533,1,-0.964335016064237
"bottle_o2sat",-0.772244918534819,-0.766387876374534,-0.981042485545432,-0.979393521767492,-0.964335016064237,1
